kp_id,name,description,subject,chapter,exam_frequency,weight
kp-043,建设工程施工现场管理,掌握施工现场管理的内容、文明施工和环境保护要求,施工管理,5.2,0.80,0.84
kp-044,职业健康安全体系,掌握职业健康安全管理体系的建立和运行要求,施工管理,5.2,0.70,0.75
kp-045,合同管理概述,理解合同管理的任务、方法和合同分析的重要性,施工管理,6.1,0.75,0.8
kp-046,施工合同的订立与履行,掌握施工合同订立的程序、履行原则和变更管理,施工管理,6.1,0.85,0.88
kp-047,合同变更与索赔,掌握合同变更的条件、程序和施工索赔的技巧,施工管理,6.1,0.90,0.92
kp-048,分包合同管理,掌握分包合同的管理、履约监督和结算审核,施工管理,6.2,0.80,0.84
kp-049,合同争议的解决方式,掌握合同争议的协商、调解、仲裁和诉讼方式,施工管理,6.2,0.72,0.76
kp-050,合同解除,掌握合同解除的条件、程序和法律后果,施工管理,6.2,0.68,0.72
kp-051,施工总承包模式,掌握施工总承包模式的特点、合同关系和管理责任,施工管理,6.3,0.85,0.88
kp-052,施工总承包管理模式,掌握施工总承包管理模式的特点、优势和合同结构,施工管理,6.3,0.82,0.86
kp-053,项目信息管理,掌握项目信息管理的目的、内容和分类方法,施工管理,7.1,0.75,0.8
kp-054,项目管理信息系统,理解项目管理信息系统的功能、应用和发展趋势,施工管理,7.1,0.65,0.7
kp-055,工程档案管理,掌握工程档案的分类、编制要求和移交程序,施工管理,7.2,0.70,0.75
kp-056,信息编码,掌握信息编码的原则、方法和应用场景,施工管理,7.2,0.68,0.72
kp-057,BIM技术应用,了解BIM技术在工程管理中的应用价值和实施方法,施工管理,7.3,0.72,0.77

kp-058,施工成本核算,掌握施工成本核算的方法、成本报表的编制和分析,施工管理,2.4,0.75,0.8
kp-059,赢得值法综合应用,掌握赢得值法在复杂项目中的综合应用和成本偏差分析,施工管理,2.5,0.82,0.86
kp-060,网络计划时间参数计算,掌握单代号和双代号网络计划时间参数的计算方法,施工管理,3.3,0.88,0.9
kp-061,装配式混凝土结构施工,掌握装配式混凝土结构的施工技术要点和质量控制,施工管理,4.4,0.78,0.82
kp-062,施工现场文明施工,掌握施工现场文明施工的要求、措施和评价标准,施工管理,5.3,0.72,0.76
kp-063,工程量清单计价,掌握工程量清单计价的原理、方法和投标报价技巧,施工管理,6.4,0.85,0.88
