type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,施工管理,3.1,2024,2,"关于实施性施工进度计划作用的说法，正确的有（  ）。","{""A"":""作为编制单对象工程施工计划的基础"",""B"":""确定月、旬的施工机械需求"",""C"":""作为编制工作计划的前提"",""D"":""确定月、旬的人工需求""}","B,D","实施性进度计划的主要作用是确定月、旬的施工机械和人工需求，正确答案是BD。"
SINGLE,二建,施工管理,3.1,2024,3,"某双代号网络计划中，关键线路是（  ）。已知计划工期为200天，A工作最早开始时间为50天，最早完成时间为100天。","{""A"":""A→D→G→J"",""B"":""A→E→H→J"",""C"":""B→F→I→J"",""D"":""C→F→I→J""}","A","根据题目条件，关键线路是工期最长的线路，经计算A→D→G→J为200天，正确答案是A。"
SINGLE,二建,施工管理,3.2,2023,2,"下列施工进度控制工作中，属于施工方进度控制任务的是（  ）。","{""A"":""部署和控制工程物资动员工作"",""B"":""部署和控制准备工作"",""C"":""进行项目实施期施工进度控制"",""D"":""进行项目运维期进度控制""}","C","施工方进度控制任务是项目实施期的进度控制，正确答案是C。"
SINGLE,二建,施工管理,3.2,2024,1,"工程网络计划中，关键工作是指（  ）。","{""A"":""两端都是关键节点的工作"",""B"":""工作持续时间最长的工作"",""C"":""总时差最小的工作"",""D"":""自由时差为零的工作""}","C","关键工作是指总时差最小的工作，正确答案是C。"
SINGLE,二建,施工管理,4.1,2024,2,"关于建设工程项目质量形成影响的表述，正确的是（  ）。","{""A"":""质量需求主要源于项目管理职能"",""B"":""质量控制是质量管理的核心"",""C"":""质量目标的基本依据是合同"",""D"":""项目各参与方直接决定项目质量""}","C","项目质量目标的基本依据是合同，正确答案是C。"
SINGLE,二建,施工管理,4.1,2023,2,"PDCA循环中，D阶段的职能包括（  ）。","{""A"":""确定质量目标"",""B"":""制定实现质量目标的行动方案"",""C"":""执行计划行动方案"",""D"":""纠正出现的偏差""}","C","PDCA循环中D阶段是实施（Do），即执行计划行动方案，正确答案是C。"
SINGLE,二建,施工管理,4.2,2024,2,"关于施工质量控制特点的说法，正确的是（  ）。","{""A"":""施工质量控制只需要项目部参与"",""B"":""施工质量控制的因素主要包括人、机、料、法、环境"",""C"":""施工质量控制不需要第三方检测"",""D"":""施工质量波动大，无需控制""}","B","施工质量控制的因素主要包括人、机械、材料、方法、环境，正确答案是B。"
SINGLE,二建,施工管理,4.2,2023,3,"检验批质量验收不合格时，应由（  ）组织整改。","{""A"":""监理工程师"",""B"":""建设单位项目负责人"",""C"":""施工单位项目负责人"",""D"":""质量监督机构""}","A","检验批由监理工程师组织整改，正确答案是A。"
SINGLE,二建,施工管理,4.3,2024,2,"下列质量问题中，不属于施工质量事故预防措施的是（  ）。","{""A"":""严格按图施工"",""B"":""正确安装配置设备"",""C"":""加强进场材料检验"",""D"":""提高设计文件质量""}","D","提高设计文件质量属于设计单位的责任，不属于施工单位的预防措施，正确答案是D。"
SINGLE,二建,施工管理,5.1,2024,2,"根据《建设工程安全生产管理条例》，安装、拆卸施工起重机械和整体提升脚手架、模板等自升式架设设施，应当编制拆装方案、制定安全施工措施，并由（  ）现场监督。","{""A"":""项目负责人"",""B"":""安全员"",""C"":""专业技术人员"",""D"":""监理工程师""}","C","根据《建设工程安全生产管理条例》，应由专业技术人员现场监督，正确答案是C。"
SINGLE,二建,施工管理,5.1,2023,2,"关于安全生产教育培训的说法，正确的是（  ）。","{""A"":""企业新员工按规定经过三级安全教育培训后，即能上岗"",""B"":""项目经理部定期组织应急救援演练"",""C"":""当施工人员变换工种时，应进行安全教育培训"",""D"":""特种作业人员初次取证继续教育时间不得少于3年""}","C","当施工人员变换工种时，应进行安全教育培训，正确答案是C。"
SINGLE,二建,施工管理,5.2,2024,1,"根据《生产安全事故报告和调查处理条例》，较大事故是指（  ）。","{""A"":""3人以上死亡，或10人以上重伤"",""B"":""3人以下死亡，或10人以下重伤"",""C"":""3人以上10人以下死亡，或10人以上50人以下重伤"",""D"":""10人以上死亡，或50人以上重伤""}","C","根据《生产安全事故报告和调查处理条例》，较大事故是3人以上10人以下死亡，或10人以上50人以下重伤，正确答案是C。"
SINGLE,二建,施工管理,5.2,2023,3,"文明施工管理制度中，施工现场五牌一图不包括（  ）。","{""A"":""工程概况牌"",""B"":""消防保卫牌"",""C"":""施工进度计划表"",""D"":""施工现场总平面图""}","C","五牌一图包括工程概况牌、管理人员名单及监督电话牌、消防保卫牌、安全生产牌、文明施工牌和施工现场总平面图，不包括施工进度计划表，正确答案是C。"
SINGLE,二建,施工管理,6.1,2024,2,"关于合同变更条件的说法，正确的是（  ）。","{""A"":""合同变更只能由一方当事人提出"",""B"":""合同变更只需当事人协商一致"",""C"":""合同变更须遵循法定程序"",""D"":""合同变更不能对原合同内容作任何改变""}","C","合同变更须遵循法定程序，正确答案是C。"
SINGLE,二建,施工管理,6.1,2023,2,"关于建设工程施工合同分析的说法，正确的是（  ）。","{""A"":""合同分析不需要考虑法律法规变化"",""B"":""合同分析主要是分析合同价款"",""C"":""合同分析不需要考虑风险因素"",""D"":""合同分析是合同谈判的继续""}","D","合同分析是合同谈判的继续，是对合同的具体化和补充，正确答案是D。"
SINGLE,二建,施工管理,6.2,2024,3,"工程师要求承包人对某隐蔽工程重新检验，此项工作如果施工方拒绝，则（  ）。","{""A"":""工程师应亲自动手重新检验"",""B"":""施工方承担全部费用"",""C"":""施工方可索赔赶工费用"",""D"":""视检验结果确定责任归属""}","D","如果重新检验合格，则发包人承担费用；如果不合格，则承包人承担费用，正确答案是D。"
SINGLE,二建,施工管理,6.2,2023,2,"关于工期索赔的说法，正确的是（  ）。","{""A"":""因承包人原因导致工期延误，只能索赔工期"",""B"":""因发包人原因导致工期延误，只能索赔费用"",""C"":""因不可抗力导致工期延误，只能索赔工期"",""D"":""因异常恶劣的气候条件导致工期延误，只能索赔费用""}","C","因不可抗力导致工期延误，承包人只能索赔工期，不能索赔费用，正确答案是C。"
SINGLE,二建,施工管理,6.3,2024,2,"施工总承包管理模式与施工总承包模式相比，在合同管理方面的特点是（  ）。","{""A"":""业主不需要进行招标"",""B"":""业主合同管理工作量较小"",""C"":""分包合同由业主直接签订"",""D"":""分包合同由总承包管理方代签""}","D","施工总承包管理模式下，分包合同由总承包管理方代签，正确答案是D。"
SINGLE,二建,施工管理,7.1,2024,1,"项目信息管理的目的旨在通过（  ）为项目建设的增值服务。","{""A"":""有效的项目信息传输"",""B"":""有效的项目信息收集"",""C"":""有效的项目信息存储"",""D"":""有效的项目信息处理""}","A","项目信息管理的目的旨在通过有效的项目信息传输为项目建设的增值服务，正确答案是A。"
SINGLE,二建,施工管理,7.2,2023,2,"根据《建设工程文件归档整理规范》，属于施工文件的是（  ）。","{""A"":""工程竣工验收报告"",""B"":""工程洽商单"",""C"":""工程决算书"",""D"":""工程招标投标文件""}","B","工程洽商单属于施工文件，正确答案是B。"
SINGLE,二建,施工管理,1.3,2024,2,"某工程双代号网络计划中，工作M的总时差为5天，自由时差为2天。在M按计划完成后，由于业主原因导致M延迟3天，则工作M的紧后工作最早开始时间将延迟（  ）天。","{""A"":""1"",""B"":""2"",""C"":""3"",""D"":""0""}","A","M延迟3天，但总时差5天，所以只影响紧后工作1天，正确答案是A。"
SINGLE,二建,施工管理,2.4,2024,2,"某工程挣得值分析表如下，工作B到第5天末的实际挣得值是（  ）万元。已知ACWP=50万元，BCWS=45万元，BCWP=48万元。","{""A"":""48"",""B"":""50"",""C"":""45"",""D"":""52""}","A","挣得值（BCWP）即为到第5天末的实际完成工作量对应的预算成本，为48万元，正确答案是A。"
SINGLE,二建,施工管理,3.3,2024,3,"某工程单代号网络计划中，工作D与工作E的时间间隔是（  ）天。已知D工作最早开始时间为第5天，持续时间为6天；E工作最早开始时间为第12天。","{""A"":""1"",""B"":""2"",""C"":""3"",""D"":""0""}","A","时间间隔 = E工作最早开始 - D工作最早完成 = 12 - (5+6) = 1天，正确答案是A。"
SINGLE,二建,施工管理,4.4,2024,2,"装配式混凝土结构施工中，隐蔽工程验收不包括（  ）。","{""A"":""钢筋的品种、规格、数量和间距"",""B"":""混凝土的配合比"",""C"":""预应力筋的张拉设备"",""D"":""套筒的连接质量""}","B","混凝土配合比属于材料进场检验，不属于隐蔽工程验收，正确答案是B。"
SINGLE,二建,施工管理,5.3,2023,2,"施工现场文明施工管理的第一责任人是（  ）。","{""A"":""项目经理"",""B"":""总监理工程师"",""C"":""业主代表"",""D"":""施工企业负责人""}","A","施工现场文明施工管理的第一责任人是项目经理，正确答案是A。"
SINGLE,二建,施工管理,6.4,2024,1,"根据《标准施工招标文件》，由于发包人原因导致工程延期，承包人可索赔的款项不包括（  ）。","{""A"":""利息"",""B"":""利润"",""C"":""延迟付款利息"",""D"":""管理费""}","B","由于发包人原因导致工程延期，承包人可索赔工期、费用和利息，但一般不能索赔利润（除非合同另有约定），正确答案是B。"
SINGLE,二建,施工管理,7.3,2024,2,"关于BIM技术在工程项目管理中应用的说法，正确的是（  ）。","{""A"":""BIM技术主要用于碰撞检查和可视化展示"",""B"":""BIM技术可以完全替代传统项目管理方法"",""C"":""BIM技术不能进行工程量自动计算"",""D"":""BIM技术只能用于设计阶段""}","A","BIM技术主要用于碰撞检查和可视化展示，正确答案是A。"
SINGLE,二建,施工管理,2.5,2023,3,"下列关于工程量清单计价的说法，正确的是（  ）。","{""A"":""综合单价包括人工费、材料费、施工机具使用费、企业管理费和利润"",""B"":""安全文明施工费不得作为竞争性费用"",""C"":""规费和税金不得作为竞争性费用"",""D"":""所有费用均可竞争""}","A,B,C","综合单价包括人工费、材料费、施工机具使用费、企业管理费和利润，安全文明施工费、规费和税金不得作为竞争性费用，正确答案是ABC（多选题）。"
MULTIPLE,二建,施工管理,1.1,2024,3,"施工总承包管理模式的主要优点有（  ）。","{""A"":""业主合同管理工作量较小"",""B"":""缩短建设周期"",""C"":""有利于工程质量控制"",""D"":""有利于工程造价控制""}","A,B","施工总承包管理模式的优点包括：业主合同管理工作量小（所有分包直接与发包人签约），缩短建设周期（设计与施工可搭接），答案是AB。"
MULTIPLE,二建,施工管理,2.1,2023,2,"成本加酬金合同的特点有（  ）。","{""A"":""承包人不承担工程成本风险"",""B"":""业主对工程总投资不易控制"",""C"":""承包人可获得奖金"",""D"":""适用于紧急工程""}","A,B,D","成本加酬金合同的特点：承包人不承担成本风险（风险由业主承担），业主总投资不易控制，适用于紧急工程，答案是ABD。"
MULTIPLE,二建,施工管理,3.1,2024,2,"下列关于横道图的说法，正确的有（  ）。","{""A"":""横道图形象直观，但不能反映工作之间的逻辑关系"",""B"":""横道图能反映工程费用的时间分布"",""C"":""横道图不能反映关键工作"",""D"":""横道图适用于大型项目进度计划""}","A,B,C","横道图形象直观，但不能反映工作之间的逻辑关系，能反映工程费用的时间分布，但不能反映关键工作，不适用于大型项目，答案是ABC。"
MULTIPLE,二建,施工管理,4.1,2024,3,"下列质量控制工作中，属于事中控制的有（  ）。","{""A"":""对工序质量进行动态跟踪控制"",""B"":""审查施工组织设计"",""C"":""对施工工艺进行技术交底"",""D"":""对进场材料进行检验""}","A,C","事中控制是对施工过程的质量控制，包括对工序质量进行动态跟踪控制，对施工工艺进行技术交底，答案是AC。审查施工组织设计属于事前控制。"
MULTIPLE,二建,施工管理,5.1,2024,2,"根据《建设工程安全生产管理条例》，专项施工方案应当包括的内容有（  ）。","{""A"":""工程概况"",""B"":""编制依据"",""C"":""施工工艺"",""D"":""施工计划""}","A,B,C,D","专项施工方案应当包括工程概况、编制依据、施工计划、施工工艺、安全保证措施等内容，答案是ABCD。"
MULTIPLE,二建,施工管理,6.1,2023,3,"施工合同执行过程中，属于合同变更的有（  ）。","{""A"":""改变合同中工作的质量标准"",""B"":""改变工程的标高和位置"",""C"":""增加或减少合同中约定的工程量"",""D"":""取消合同中任何工作""}","A,B,C","合同变更包括改变合同中工作的质量标准、改变工程的标高和位置、增加或减少合同中约定的工程量等，取消合同中任何工作属于合同解除，答案是ABC。"
MULTIPLE,二建,施工管理,6.2,2024,3,"建设工程施工合同纠纷的诉讼管辖法院包括（  ）。","{""A"":""合同履行地法院"",""B"":""合同签订地法院"",""C"":""被告住所地法院"",""D"":""标的物所在地法院""}","A,C","建设工程施工合同纠纷由被告住所地或者合同履行地法院管辖，答案是AC。"
MULTIPLE,二建,施工管理,7.2,2024,2,"项目信息处理的主要内容包括（  ）。","{""A"":""信息收集"",""B"":""信息存储"",""C"":""信息分发"",""D"":""信息加密""}","A,B,C","项目信息处理的主要内容包括信息收集、信息存储、信息分发，答案是ABC。"
JUDGE,二建,施工管理,1.1,2024,1,"施工组织设计是指导施工准备和施工的全面性技术经济文件。（  ）","{""A"":""正确"",""B"":""错误""}","A","施工组织设计是指导施工准备和施工的全面性技术经济文件，表述正确。",""
JUDGE,二建,施工管理,2.1,2023,2,"施工成本控制的工作内容包括工程款支付控制、费用索赔处理和施工成本分析。（  ）","{""A"":""正确"",""B"":""错误""}","A","施工成本控制的工作内容包括工程款支付控制、费用索赔处理和施工成本分析，表述正确。",""
JUDGE,二建,施工管理,3.2,2024,2,"关键工作一定是重点控制对象，而非关键工作不需要控制。（  ）","{""A"":""正确"",""B"":""错误""}","B","错误。非关键工作也可能在特定情况下成为关键工作（如资源调整后），所以非关键工作也需要控制。",""
JUDGE,二建,施工管理,4.3,2023,2,"质量事故调查报告由事故调查组编写，不需要技术鉴定。（  ）","{""A"":""正确"",""B"":""错误""}","B","错误。质量事故调查报告应包括技术鉴定结论，技术鉴定是必要的。",""
JUDGE,二建,施工管理,5.2,2024,1,"安全生产责任制度的核心是明确企业主要负责人的安全生产责任。（  ）","{""A"":""正确"",""B"":""错误""}","B","错误。安全生产责任制度的核心是明确各级人员的安全生产责任，不仅仅是主要负责人。",""
JUDGE,二建,施工管理,6.3,2024,2,"工程变更指令必须由业主正式发布，不能由监理工程师发布。（  ）","{""A"":""正确"",""B"":""错误""}","B","错误。监理工程师可以根据授权发布工程变更指令，但需经业主认可。",""
