type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,市政5.1,2024,2,"关于燃气管道严密性试验稳压时间要求的说法，正确的是（  ）。","{""A"":""设计压力小于5kPa时，稳压时间不应少于12h"",""B"":""设计压力大于0.8MPa时，稳压时间不应少于24h"",""C"":""稳压期间应对所有接口进行检查，不得有泄漏"",""D"":""严密性试验介质应采用洁净水"",""E"":""试验压力应为设计压力的1.15倍"",""F"":""稳压时间内压力降不得超过133Pa""}","B","根据《城镇燃气输配工程施工及验收规范》，设计压力大于0.8MPa时，严密性试验稳压时间不应少于24h。选项A设计压力小于5kPa时，稳压时间不应少于8h；选项C稳压期间应观察压力表而非检查接口（接口检查在强度试验时）；选项D严密性试验介质为压缩空气或氮气，严禁用水；选项E试验压力为设计压力的1.15倍是强度试验要求；选项F压力降要求133Pa（对于设计压力大于0.8MPa）。正确答案B。"
SINGLE,二建,专业实务,市政5.2,2023,2,"关于钢质燃气管道防腐层检测周期的说法，正确的是（  ）。","{""A"":""高压管道每年检测一次"",""B"":""次高压管道每半年检测一次"",""C"":""中压管道每年检测一次"",""D"":""低压管道每两年检测一次"",""E"":""新建管道应在竣工后三年内进行首次检测"",""F"":""检测发现防腐层缺陷应立即修复""}","F","防腐层检测发现缺陷应查明位置并及时修复。选项A高压管道检测周期为每半年一次；选项B次高压管道每半年检测一次正确；选项C中压管道每年检测一次；选项D低压管道每两年检测一次；选项E新建管道应在竣工后一年内进行首次检测。正确答案F。"
SINGLE,二建,专业实务,市政6.1,2024,3,"关于热力管道补偿器安装位置及作用的说法，正确的是（  ）。","{""A"":""方形补偿器应水平安装，臂长允许偏差±5mm"",""B"":""波纹管补偿器用于管道转角处，可吸收角向位移"",""C"":""套筒补偿器应安装在固定支架之间，安装距离不大于200m"",""D"":""自然补偿利用管道弯曲管段吸收管道热伸长，安装在管道转角处"",""E"":""旋转补偿器宜成组安装，安装角度不宜超过180°"",""F"":""补偿器安装时应进行预拉伸或预压缩"","D","自然补偿利用管道自身的弯曲管段（L形、Z形）来吸收热伸长量，是最经济的补偿方式。选项A方形补偿器臂长允许偏差为±2mm；选项B波纹管补偿器用于直线管段，吸收轴向位移；选项C套筒补偿器安装距离根据管径确定，一般不大于100m；选项E旋转补偿器安装角度不宜超过360°而非180°；选项F补偿器安装时预拉伸或预压缩应根据设计文件进行，不是所有补偿器都需要。正确答案D。"
SINGLE,二建,专业实务,市政6.2,2023,2,"关于供热管网强度试验介质及压力要求的说法，正确的是（  ）。","{""A"":""强度试验介质应采用洁净水"",""B"":""试验压力应为设计压力的1.25倍"",""C"":""升压至试验压力后稳压30min，压降不大于0.05MPa为合格"",""D"":""地下管线强度试验应在回填土后进行"",""E"":""强度试验完成后可直接进行严密性试验"",""F"":""试验温度不应低于5℃""}","A","供热管网强度试验介质应采用洁净水。选项B试验压力应为设计压力的1.25倍，且不应低于0.6MPa；选项C稳压时间应为30min，合格标准为压降不大于0.05MPa；选项D强度试验应在回填土前进行；选项E强度试验合格后应降压至工作压力进行严密性试验；选项F试验温度不应低于5℃以防水结冰。正确答案A。"
SINGLE,二建,专业实务,市政7.1,2024,2,"关于基坑周围建筑物沉降观测点布置原则的说法，正确的是（  ）。","{""A"":""沉降观测点应布置在建筑物角点、中点及周边每隔10~15m处"",""B"":""观测点数量不应少于3个"",""C"":""沉降观测点应避开障碍物，便于观测"",""D"":""观测点应埋设稳固，不受施工影响"",""E"":""基坑边缘1倍开挖深度范围内的建筑物应重点观测"",""F"":""沉降观测精度应达到mm级""}","C","沉降观测点应避开障碍物，便于观测和保护。选项A间距一般为15~20m；选项B观测点数量不应少于4个；选项D观测点虽需稳固但不一定完全不受施工影响（可设保护装置）；选项E基坑边缘2倍开挖深度范围内建筑物应重点观测；选项F沉降观测精度应达到mm级要求。正确答案C。"
SINGLE,二建,专业实务,市政7.2,2023,3,"关于盾构隧道管片姿态测量允许偏差的说法，正确的是（  ）。","{""A"":""隧道轴线平面位置允许偏差为±50mm"",""B"":""隧道轴线高程允许偏差为±50mm"",""C"":""相邻管片环间高差允许偏差为10mm"",""D"":""管片底部超挖量不得大于50mm"",""E"":""盾尾间隙偏差应满足设计要求，上下左右偏差不宜大于20mm"",""F"":""隧道轴线偏差是指隧道实际轴线与设计轴线之间的偏离值""}","E","盾尾间隙偏差应满足设计要求，确保盾构机顺利通过和管片安装空间充足。选项A平面位置允许偏差为±100mm（根据隧道直径和设计要求）；选项B高程允许偏差为±100mm；选项C相邻管片环间高差允许偏差为5mm；选项D超挖量根据设计要求确定，一般不大于30mm；选项F轴线偏差定义正确，但题目问的是允许偏差值。正确答案E。"
SINGLE,二建,专业实务,施工1.1,2024,2,"关于项目经理部组织机构设置原则的说法，正确的是（  ）。","{""A"":""组织机构应具有统一指挥权，避免多头领导"",""B"":""部门设置越多越好，便于精细分工"",""C"":""项目经理部是临时性机构，不需建立完整管理制度"",""D"":""管理人员应一人多岗，减少配置数量"",""E"":""组织机构层次不宜超过3层"",""F"":""项目经理部可代 表企业行使部分管理职能""}","A","项目经理部组织机构设置应遵循统一指挥原则，避免多头领导、政出多门。选项B部门设置应根据实际需要，非越多越好；选项C项目经理部虽为临时机构，但必须建立完整的质量、安全等管理制度；选项D一人多岗应有度，不能影响管理效果；选项E组织机构层次不宜超过3层；选项F项目经理部在授权范围内代表企业行使管理职能。正确答案A。"
SINGLE,二建,专业实务,施工1.2,2023,2,"关于施工项目管理目标责任书核心指标的说法，正确的是（  ）。","{""A"":""目标责任书的核心指标是质量目标和安全目标"",""B"":""成本目标应明确项目应达到的最低成本控制值"",""C"":""进度目标用日历时间表示，应明确关键节点时间"",""D"":""目标责任书应由项目经理与企业法定代表人签订"",""E"":""目标责任书的核心指标应与企业责任成本挂钩"",""F"":""项目技术负责人应对成本控制承担主要责任""}","C","施工项目管理目标责任书中的进度目标应用日历时间表示，明确关键节点时间。选项A核心指标包括成本目标（最重要）；选项B成本目标应是最高成本控制额（上限）；选项D由企业法定代表人或授权人与项目经理签订；选项E核心指标包括成本、工期、质量、安全等综合指标；选项F项目经理对成本控制承担主要责任。正确答案C。"
SINGLE,二建,专业实务,施工2.1,2024,3,"关于危险性较大分部分项工程专项方案编制内容的说法，正确的是（  ）。","{""A"":""专项方案应包括工程概况、编制依据、施工计划、工艺技术、安全措施等"",""B"":""施工计划只需包含进度计划"",""C"":""安全措施应包括监控措施，但不包括应急救援措施"",""D"":""专项方案由项目技术负责人审核签字后即可实施"",""E"":""超过一定规模的危大工程专项方案应经专家论证"",""F"":""专项方案实施前应向现场管理人员进行安全技术交底""}","A","危险性较大分部分项工程专项方案应包括：工程概况、编制依据、施工计划（含进度计划和材料设备计划）、施工工艺技术、施工安全保证措施、应急处置措施、计算书及相关图纸。选项B施工计划应包括进度计划和材料设备计划；选项C安全措施应包括监控措施和应急救援措施；选项D专项方案应由施工单位技术负责人审核签字；选项E超过一定规模的危大工程专项方案须经专家论证；选项F专项方案实施前应向现场管理人员及作业人员进行安全技术交底。正确答案A。"
SINGLE,二建,专业实务,施工2.2,2023,2,"关于施工组织设计动态管理触发条件的说法，正确的是（  ）。","{""A"":""工程设计图纸发生重大修改时应进行动态管理"",""B"":""施工环境发生一般变化时应修编施工组织设计"",""C"":""主要施工方法变更时不需要修编"",""D"":""施工组织设计实行动态管理，动态管理的原则是必要且合理"",""E"":""项目技术负责人应定期组织检查施工组织设计执行情况"",""F"":""发生重大安全事故时应立即修编施工组织设计""}","A","施工组织设计动态管理的触发条件包括：工程设计图纸发生重大修改；施工环境发生重大变化（地质条件、周边管线等）；主要施工方法变更；主要施工资源配置有重大调整；法律、法规、规范标准变化等。选项B施工环境发生一般变化不需要修编，可局部调整；选项C主要施工方法变更需要修编；选项D动态管理原则是"确有必要"；选项E项目技术负责人应定期组织检查；选项F发生重大安全事故应启动应急救援预案，修编施工组织设计要看是否与事故原因相关。正确答案A。"
SINGLE,二建,专业实务,施工3.1,2024,3,"关于双代号时标网络图关键线路判断方法的说法，正确的是（  ）。","{""A"":""关键线路是线路上各项工作总时差最大的线路"",""B"":""关键线路上所有工作的自由时差均为零"",""C"":""双代号时标网络图中，波形线表示工作的最早开始时间"",""D"":""判断关键线路时，应从网络计划终点节点开始，逆着箭线方向寻找"",""E"":""关键线路上的工作称为关键工作，关键工作均为重点控制对象"",""F"":""网络计划中至少有一条关键线路且可以相互转化""}","E","关键线路上的工作称为关键工作，是进度控制的重点对象。选项A关键线路是总时差最小的线路（或持续时间最长的线路）；选项B关键线路上所有工作的总时差均为零（自由时差不一定为零）；选项C波形线表示工作的自由时差；选项D从网络计划终点节点开始逆着箭线方向找持续时间最长的线路；选项F关键线路确实至少有一条且可能相互转化。正确答案E。"
SINGLE,二建,专业实务,施工3.2,2023,2,"关于实际进度前锋线绘制与应用的说法，正确的是（  ）。","{""A"":""实际进度前锋线按工程实际进度描绘在时标网络图上"",""B"":""前锋线与检查日期的交点位置反映实际进度偏差"",""C"":""前锋线在计划线左侧表示进度提前"",""D"":""实际进度前锋线只能反映已完工程量，不能反映工序完成情况"",""E"":""根据前锋线可分析进度偏差对紧后工作的影响"",""F"":""前锋线适用于双代号时标网络计划，不适用于单代号网络计划""}","A","实际进度前锋线是按工程实际进度，在时标网络计划图上从检查日期出发，用点划线依次连接各工作的实际进度点，最后到达计划检查日期位置。选项B前锋线与检查日期的交点位置：交点在计划线左侧表示延误，在右侧表示提前；选项C在左侧表示延误而非提前；选项D前锋线反映的是已完工程量的时间进度；选项E可根据偏差分析对紧后工作及总工期的影响；选项F前锋线主要适用于双代号时标网络计划。正确答案A。"
SINGLE,二建,专业实务,施工4.1,2024,2,"关于钢筋安装位置偏差检验批验收抽样方案的说法，正确的是（  ）。","{""A"":""钢筋安装位置的允许偏差中，受力钢筋间距允许偏差为±10mm"",""B"":""同一纵向受力钢筋不宜设置2个以上接头"",""C"":""钢筋保护层厚度的抽检数量为构件数量的10%，且不少于5件"",""D"":""悬挑构件钢筋保护层厚度检验应抽取构件数量的20%"",""E"":""钢筋安装验收时，应检查钢筋的牌号、规格和数量"",""F"":""检验批容量是指检验批中所有构件的数量"}","E","钢筋安装验收时，应检查钢筋的品种、牌号、规格、数量是否符合设计要求。选项A受力钢筋间距允许偏差为±20mm（根据钢筋直径和构件类型）；选项B同一根钢筋不宜设置2个以上接头是正确的，但接头不是间距的概念；选项C钢筋保护层厚度抽检数量为构件数量的5%，且不少于3件；选项D悬挑构件应全数检验；选项F检验批容量是检验批中应检验的构件或部位的数量。正确答案E。"
SINGLE,二建,专业实务,施工4.2,2023,3,"关于混凝土缺陷返工处理程序的说法，正确的是（  ）。","{""A"":""发现混凝土缺陷后，应由项目技术负责人组织技术、质量等部门分析原因"",""B"":""返工处理方案应经过施工单位技术负责人审批后即可实施"",""C"":""涉及结构安全的质量缺陷，应于48h内向建设单位报告"",""D"":""返工处理后不需要进行重新验收"",""E"":""质量缺陷处理记录应纳入工程档案保存"",""F"":""混凝土蜂窝麻面属于严重缺陷，必须全部返工""}","A","混凝土缺陷处理程序：发现缺陷→项目技术负责人组织技术、质量等部门分析原因→制定处理方案→审批（涉及设计变更需原设计单位确认）→实施→验收。选项B涉及结构安全的重大缺陷处理方案需经原设计单位确认；选项C应于24h内向建设单位报告；选项D返工处理后应重新验收；选项E质量缺陷处理记录应纳入工程档案；选项F蜂窝麻面属于一般缺陷，可根据具体情况修补处理而非全部返工。正确答案A。"
SINGLE,二建,专业实务,施工5.1,2024,3,"关于模板支撑体系坍塌重大隐患判定标准的说法，正确的是（  ）。","{""A"":""模板支撑体系承载力不足属于重大隐患"",""B"":""立杆间距超过设计值的50%属于重大隐患"",""C"":""混凝土模板支撑工程高度8m及以上属于超危大工程"",""D"":""搭设高度10m以上的模板支撑工程需要专家论证"",""E"":""模板支撑体系与外脚手架连接属于一般安全隐患"",""F"":""搭设跨度18m以上的模板支撑工程属于危大工程""}","A","模板支撑体系承载力不足（未进行设计计算或计算与实际不符）属于重大隐患。选项B立杆间距超过设计值的50%属于重大隐患（非20%）；选项C高度8m及以上属于超危大工程（搭设高度8m及以上）；选项D搭设高度15m以上的模板支撑工程需要专家论证（10m只是危大工程标准）；选项E模板支撑体系与外脚手架连接属于重大隐患（不能连接）；选项F搭设跨度18m以上属于危大工程（但不是重大隐患的直接判定标准）。正确答案A。"
SINGLE,二建,专业实务,施工5.2,2023,2,"关于特种作业人员持证上岗核查要点的说法，正确的是（  ）。","{""A"":""特种作业操作证有效期为6年，每3年复审一次"",""B"":""离开特种作业岗位6个月以上的特种作业人员，需要重新进行实际操作考核"",""C"":""特种作业人员操作证遗失后可直接上岗作业"",""D"":""建筑电工、架子工、起重信号工均属于特种作业人员"",""E"":""特种作业人员操作证可以涂改"",""F"":""特种作业人员连续从事本工种10年以上，复审时间可延长至6年一次""}","D","建筑电工、建筑架子工、建筑起重信号司索工、建筑起重机械司机、建筑起重机械安装拆卸工、高处作业吊篮安装拆卸工等均属于特种作业人员。选项A操作证有效期为6年，每3年复审一次（正确）；选项B离开特种作业岗位6个月以上需重新进行实际操作考核（正确）；选项C遗失后应立即向原发证机关申请补办，在新证下发前不得上岗；选项E操作证不得涂改、倒卖、非法转让；选项F特种作业人员连续从事本工种10年以上，复审时间可延长至6年一次（正确）。正确答案D。"
SINGLE,二建,专业实务,法规1.1,2024,2,"关于招标投标异议及投诉处理时限的说法，正确的是（  ）。","{""A"":""潜在投标人或其他利害关系人对招标文件有异议的，应在投标截止时间5日前提出"",""B"":""招标人应当自收到异议之日起5日内作出答复"",""C"":""投标人投诉应在知道或应当知道之日起15日内提出"",""D"":""行政监督部门应当自收到投诉之日起30个工作日内作出处理决定"",""E"":""招标项目的评标工作最长不得超过30天"",""F"":""中标候选人公示期不得少于3日""}","C","投标人或其他利害关系人投诉应在知道或应当知道其权益受到侵害之日起15日内提出。选项A异议提出时间应为投标截止时间10日前（依法必须招标的项目）；选项B招标人应自收到异议之日起3日内作出答复；选项D行政监督部门应在收到投诉之日起30个工作日内作出处理决定（而非30日）；选项E评标工作期限根据项目规模确定，无固定30天限制；选项F中标候选人公示期不得少于3日。正确答案C。"
SINGLE,二建,专业实务,法规1.2,2023,3,"关于建设工程合同无效情形及处理的说法，正确的是（  ）。","{""A"":""承包人无资质或超越资质签订的施工合同无效"",""B"":""建设工程施工合同无效，但工程验收合格的，承包人可请求参照合同约定支付工程款"",""C"":""合同无效但工程验收不合格的，发包人无需支付工程款"",""D"":""借用资质签订的施工合同，出借方不承担责任"",""E"":""建设工程合同无效，承包人已完工程的利润应予以收缴"",""F"":""合同无效且验收不合格的，应按照过错程度分担损失""}","B","合同无效但工程验收合格的，承包人可请求参照合同约定支付工程价款。选项A超越资质等级签订的合同在工程竣工前取得相应资质等级的，合同有效（但本题不涉及此例外）；选项C合同无效但工程验收不合格的，承包人无权请求参照合同约定支付工程款；选项D出借资质方应与借用方承担连带责任；选项E建设工程合同无效，已完工程的直接费用（成本）应予支付，利润部分不予支持；选项F合同无效且验收不合格的，应由承包人自费修复，修复后验收合格的可参照合同约定支付工程款。正确答案B。"
SINGLE,二建,专业实务,法规2.1,2024,2,"关于建设工程质量保修期起算日期的说法，正确的是（  ）。","{""A"":""质量保修期从工程竣工验收合格之日起计算"",""B"":""承包人提交竣工验收报告之日即为保修期起算日期"",""C"":""建设单位擅自使用未经竣工验收的工程，保修期从使用之日起计算"",""D"":""装修工程保修期为2年"",""E"":""防水工程保修期为5年"",""F"":""电气管道、给排水管道的保修期为2年""}","A","建设工程质量保修期从工程竣工验收合格之日起计算。选项B竣工验收合格之日为保修期起算日期，而非提交报告之日；选项C建设单位擅自使用未竣工验收工程的，转移占有之日为保修期起算日期；选项D装修工程保修期为2年（正确）；选项E防水工程保修期为5年（正确）；选项F电气管道、给排水管道的保修期为2年（正确）。正确答案A。"
SINGLE,二建,专业实务,法规2.2,2023,2,"关于生产安全事故等级划分标准的说法，正确的是（  ）。","{""A"":""造成3人死亡的事故属于较大事故"",""B"":""造成10人重伤（包括急性工业中毒）的事故属于较大事故"",""C"":""造成5000万元直接经济损失的事故属于重大事故"",""D"":""事故等级划分要素包括人员伤亡、经济损失和社会影响"",""E"":""一般事故是指造成3人以下死亡，或10人以下重伤"",""F"":""较大事故是指造成3人以上10人以下死亡""}","E","一般事故是指造成3人以下死亡，或10人以下重伤，或1000万元以下直接经济损失的事故。选项A造成3人死亡属于较大事故（非一般）；选项B造成10人重伤属于一般事故（10人以下重伤是一般）；选项C造成5000万元直接经济损失属于较大事故（1000万~5000万是较大）；选项D事故等级划分要素包括人员伤亡和经济损失（直接经济损失），不包括社会影响；选项F较大事故是指3人以上10人以下死亡。正确答案E。"
SINGLE,二建,专业实务,建筑1.1,2024,3,"关于框架结构梁柱节点核心区混凝土浇筑要点的说法，正确的是（  ）。","{""A"":""梁柱节点核心区混凝土应与梁板混凝土分别浇筑"",""B"":""核心区混凝土强度等级不同时，节点混凝土应按柱混凝土强度等级浇筑"",""C"":""混凝土浇筑应先浇筑节点核心区，后浇筑梁板"",""D"":""核心区混凝土振捣应采用高频振捣棒，振捣时间不少于30s"",""E"":""节点核心区可留置施工缝"",""F"":""浇筑时应控制混凝土坍落度，不宜大于100mm""}","B","框架结构梁柱节点核心区混凝土强度等级与柱相同时，应按柱混凝土强度等级浇筑；当节点区混凝土强度等级高于柱时，应按设计要求处理。选项A应与梁板混凝土同时浇筑（高强度等级核心区先浇）；选项C应先浇筑节点核心区高等级混凝土，后浇筑梁板低等级混凝土；选项D振捣时间以混凝土表面不再显著下沉、无气泡冒出为宜，一般10~30s；选项E节点核心区不得留置施工缝；选项F梁板混凝土坍落度一般控制在120~160mm。正确答案B。"
SINGLE,二建,专业实务,建筑1.2,2023,2,"关于屋面防水等级及设防要求的说法，正确的是（  ）。","{""A"":""屋面防水等级分为4级"",""B"":""一级屋面防水应设置三道或三道以上防水设防"",""C"":""二级屋面防水应设置二道防水设防"",""D"":""重要的建筑和高层建筑屋面防水等级为一级"",""E"":""一般建筑屋面防水等级为三级"",""F"":""防水等级越高，使用的防水材料耐久性要求越低""}","D","重要的建筑和高层建筑屋面防水等级为一级，防水层合理使用年限为25年。选项A屋面防水等级分为4级（Ⅰ、Ⅱ、Ⅲ、Ⅳ）；选项B一级屋面防水应设置三道或三道以上防水设防（正确）；选项C二级屋面防水应设置二道防水设防（正确）；选项E一般建筑屋面防水等级为三级（正确）；选项F防水等级越高，材料耐久性要求越高。正确答案D。"
SINGLE,二建,专业实务,建筑2.1,2024,3,"关于民用建筑工程室内环境污染物浓度检测的说法，正确的是（  ）。","{""A"":""室内环境污染物浓度检测应在工程完工至少7d后进行"",""B"":""检测时应关闭门窗1h，采样高度距楼地面0.8~1.5m"",""C"":""甲醛、苯、氨、TVOC的检测应采用集中空调系统的空气交换率法"",""D"":""抽检房间数量不少于房间总数的5%，且不少于3间"",""E"":""检测点应避开通风道和通风口"",""F"":""氨浓度检测可使用活性炭盒吸附法""}","D","民用建筑工程室内环境污染物浓度检测时，抽检房间数量不少于房间总数的5%，且不少于3间。选项A应在工程完工至少14d后进行（涂料工程7d后）；选项B应关闭门窗1h，采样高度距楼地面0.8~1.2m；选项C甲醛、苯、氨、TVOC的检测应采用相应的国家标准方法；选项E检测点应距离内墙面不小于0.5m、距楼地面高度0.8~1.5m、避开通风道和通风口；选项F氨浓度检测使用活性炭盒吸附-分光光度法或TENAX管吸附-气相色谱法。正确答案D。"
