type,exam_type,subject,chapter,year,difficulty,content,options,answer,explanation
SINGLE,二建,专业实务,建筑4.1,2024,2,"关于钢结构安装的说法，正确的是（  ）。","{""A"":""单层钢结构安装时，先安装支撑结构再安装柱间支撑"",""B"":""多层及高层钢结构安装时，应先安装主体结构后安装围护结构"",""C"":""钢柱的定位轴线应从地面控制轴线直接引上"",""D"":""吊车梁与钢柱的连接板不得与牛腿表面焊接"",""E"":""钢结构安装校正时，应考虑温度和日照的影响"",""F"":""压型金属板安装时，应按设计要求铺设防水密封材料""}","E","钢结构安装校正时，应考虑温度和日照的影响。选项A单层钢结构安装时，应先安装柱后安装支撑；选项B多层及高层钢结构安装时，应先安装围护结构后安装主体结构；选项C钢柱的定位轴线应从地面控制轴线直接引上（正确）；选项D吊车梁与钢柱的连接板不得与牛腿表面焊接（正确）；选项F压型金属板安装时，应按设计要求铺设防水密封材料（正确）。正确答案E。"
SINGLE,二建,专业实务,建筑4.2,2023,3,"关于钢结构焊接的说法，正确的是（  ）。","{""A"":""碳素结构钢在环境温度低于-20℃时不得进行焊接"",""B"":""低合金钢在环境温度低于0℃时不得进行焊接"",""C"":""焊接H型钢的翼缘板和腹板的拼接缝间距不应小于200mm"",""D"":""多层及高层钢结构中，柱与柱的接头焊接应从下向上进行"",""E"":""定位焊缝的焊接电流应比正式焊缝大10%~15%"",""F"":""设计未规定时，栓钉可采用拉弧型栓钉焊工艺""}","C","焊接H型钢的翼缘板和腹板的拼接缝间距不应小于200mm。选项A碳素结构钢在环境温度低于-20℃时不得进行焊接（正确）；选项B低合金钢在环境温度低于-10℃时不得进行焊接（非0℃）；选项D多层及高层钢结构中，柱与柱的接头焊接应按由下向上的顺序进行（正确）；选项E定位焊缝的焊接电流应比正式焊缝大10%~15%（正确）；选项F栓钉应采用拉弧型栓钉焊工艺（正确）。正确答案C。"
SINGLE,二建,专业实务,建筑5.1,2024,2,"关于建筑防水工程质量验收的说法，正确的是（  ）。","{""A"":""地下防水工程应按地下工程验收要求进行验收"",""B"":""屋面防水工程应按屋面工程验收要求进行验收"",""C"":""卫生间防水工程蓄水试验时间不应少于24h"",""D"":""防水混凝土结构厚度不应小于250mm"",""E"":""防水卷材接缝应粘结牢固，封闭严密"",""F"":""防水涂料胎体增强材料长边搭接宽度不应小于50mm""}","E","防水卷材接缝应粘结牢固，封闭严密。选项A地下防水工程应按地下工程验收要求进行验收（正确）；选项B屋面防水工程应按屋面工程验收要求进行验收（正确）；选项C卫生间防水工程蓄水试验时间不应少于24h（正确）；选项D防水混凝土结构厚度不应小于250mm（正确）；选项F防水涂料胎体增强材料长边搭接宽度不应小于50mm（正确）。正确答案E。"
SINGLE,二建,专业实务,建筑5.2,2023,2,"关于建筑节能工程施工的说法，正确的是（  ）。","{""A"":""墙体节能工程应在主体结构验收前进行"",""B"":""门窗节能工程应对中空玻璃的露点进行复验"",""C"":""屋面保温隔热工程不需要进行隐蔽工程验收"",""D"":""采暖系统节能工程的热计量装置应全数检查"",""E"":""照明节能工程应对照明光源的效率进行检测"",""F"":""建筑节能分部工程验收由总监理工程师主持""}","B","门窗节能工程应对中空玻璃的露点进行复验。选项A墙体节能工程应在基层质量验收合格后施工；选项B门窗节能工程应对中空玻璃的露点进行复验（正确）；选项C屋面保温隔热工程应进行隐蔽工程验收；选项D采暖系统节能工程的热计量装置应全数检查（正确）；选项E照明节能工程应对照明光源的效率进行检测（正确）；选项F建筑节能分部工程验收由总监理工程师主持（正确）。正确答案B。"
SINGLE,二建,专业实务,机电5.1,2024,3,"关于机电工程管道施工的说法，正确的是（  ）。","{""A"":""工业管道安装时，管道与管道之间的净距应满足安装和检修的要求"",""B"":""钢制管道热弯时，加热温度不应超过900℃"",""C"":""管道安装时，不锈钢管道不应与碳钢直接接触"",""D"":""管道压力试验前，应将不参与试压的系统及设备隔离"",""E"":""管道安装时，焊缝位置距支吊架边缘不应大于50mm"",""F"":""工业管道安装完成后，应进行泄漏性试验""}","D","管道压力试验前，应将不参与试压的系统及设备隔离，并设置盲板。选项A工业管道安装时，管道与管道之间的净距应满足安装和检修的要求（正确）；选项B钢制管道热弯时，加热温度不应超过900℃（正确）；选项C管道安装时，不锈钢管道不应与碳钢直接接触（正确）；选项E管道安装时，焊缝位置距支吊架边缘不应大于50mm（正确）；选项F工业管道安装完成后，应根据设计要求进行泄漏性试验（正确）。正确答案D。"
SINGLE,二建,专业实务,机电5.2,2023,2,"关于建筑给水排水管道安装的说法，正确的是（  ）。","{""A"":""室内给水管道应使用铜管或塑料管"",""B"":""PP-R管材在常温下工作压力不应超过1.0MPa"",""C"":""建筑内部塑料排水管道管径小于160mm时，现场可使用热熔连接"",""D"":""建筑内部金属排水管道应使用柔性接口"",""E"":""管道安装时，卫生器具排水管穿楼板处可不设套管"",""F"":""室内雨水管道应使用铸铁管或焊接钢管""}","C","建筑内部塑料排水管道管径小于160mm时，现场可使用热熔连接。选项A室内给水管道可使用多种管材；选项B PP-R管材在常温下工作压力不应超过1.0MPa（正确）；选项C建筑内部塑料排水管道管径小于160mm时，现场可使用热熔连接（正确）；选项D建筑内部金属排水管道可以使用柔性接口或刚性接口；选项E管道安装时，卫生器具排水管穿楼板处应设套管；选项F室内雨水管道应使用铸铁管、焊接钢管或塑料管。正确答案C。"
SINGLE,二建,专业实务,建筑6.1,2024,2,"关于脚手架工程安全管理的说法，正确的是（  ）。","{""A"":""扣件式钢管脚手架的扣件螺栓拧紧力矩不应小于40N·m"",""B"":""悬挑脚手架的悬挑梁应锚固在主体结构上"",""C"":""碗扣式钢管脚手架的碗扣节点承载力不应小于规定值"",""D"":""脚手架搭设前，应向作业人员进行安全技术交底"",""E"":""脚手架使用期间，可以拆除连墙件"",""F"":""模板支撑脚手架的顶层水平杆步距不应大于2m""}","B","悬挑脚手架的悬挑梁应锚固在主体结构上，其锚固长度不应小于悬挑长度的1.25倍。选项A扣件式钢管脚手架的扣件螺栓拧紧力矩不应小于40N·m（正确）；选项B悬挑脚手架的悬挑梁应锚固在主体结构上（正确）；选项C碗扣式钢管脚手架的碗扣节点承载力不应小于规定值（正确）；选项D脚手架搭设前，应向作业人员进行安全技术交底（正确）；选项E脚手架使用期间，严禁拆除连墙件；选项F模板支撑脚手架的顶层水平杆步距不应大于0.65m（非2m）。正确答案B。"
SINGLE,二建,专业实务,建筑6.2,2023,2,"关于基坑工程监测的说法，正确的是（  ）。","{""A"":""基坑工程监测应从基坑开挖开始至回填完成停止"",""B"":""坑边地面沉降监测点应布置在基坑边缘外2倍开挖深度范围内"",""C"":""基坑监测项目应按照设计要求确定"",""D"":""锚杆内力监测点应选择有代表性的锚杆安装"",""E"":""地下水位监测点应沿基坑周边布置"",""F"":""基坑监测单位应对监测数据承担保密义务""}","C","基坑监测项目应按照设计要求，并结合基坑支护结构特点确定。选项A基坑工程监测应从基坑开挖前开始，贯穿基坑使用全过程；选项B坑边地面沉降监测点应布置在基坑边缘外1~3倍开挖深度范围内；选项C基坑监测项目应按照设计要求确定（正确）；选项D锚杆内力监测点应选择有代表性的锚杆安装（正确）；选项E地下水位监测点应沿基坑周边布置（正确）；选项F基坑监测单位应对监测数据保密（正确）。正确答案C。"
SINGLE,二建,专业实务,机电6.1,2024,2,"关于工业安装工程施工质量验收的说法，正确的是（  ）。","{""A"":""分项工程质量验收应在施工单位自检合格后进行"",""B"":""分部工程质量验收应由总监理工程师组织"",""C"":""单位工程质量验收应由建设单位组织"",""D"":""工业安装工程验收的程序是分项、分部、单位工程"",""E"":""分项工程质量验收记录应由施工单位质量员填写"",""F"":""分部工程质量验收记录应由建设单位项目负责人填写""}","A","分项工程质量验收应在施工单位自检合格后进行。选项A分项工程质量验收应在施工单位自检合格后进行（正确）；选项B分部工程质量验收应由总监理工程师组织（正确）；选项C单位工程质量验收应由建设单位组织（正确）；选项D工业安装工程验收的程序是分项、分部、单位工程（正确）；选项E分项工程质量验收记录应由施工单位专业技术质量负责人填写（非质量员）；选项F分部工程质量验收记录应由总监理工程师填写（非建设单位）。正确答案A。"
SINGLE,二建,专业实务,建筑7.1,2023,2,"关于施工现场临时消防设施设置的说法，正确的是（  ）。","{""A"":""临时消防设施应与在建工程的施工同步设置"",""B"":""临时消防给水系统的给水压力不应小于0.5MPa"",""C"":""临时室外消防用水量应按火灾延续时间1h确定"",""D"":""施工现场应配置灭火器的最小灭火级别为8A"",""E"":""消火栓的间距不应大于120m"",""F"":""宿舍区应设置临时疏散指示标志"",""E"":""消火栓的间距不应大于120m"",""F"":""宿舍区应设置临时疏散指示标志""}","A","临时消防设施应与在建工程的施工同步设置。选项A临时消防设施应与在建工程的施工同步设置（正确）；选项B临时消防给水系统的给水压力不应小于0.1MPa（非0.5MPa）；选项C临时室外消防用水量应按火灾延续时间2h确定（非1h）；选项D施工现场应配置灭火器的最小灭火级别应根据火灾类型确定；选项E消火栓的间距不应大于120m（正确）；选项F宿舍区应设置临时疏散指示标志（正确）。正确答案A。"
